,Point Defect Cnts,Clsuter Vlm,PCF PC 1,PCF PC 2
0,87589.0,2272532.0,0.8099378528262212,0.17593506171488824
1,132505.0,3546939.0,0.6137619921157209,0.06942128311422294
2,171079.0,4597420.0,0.46099026839854895,0.039303099297000335
3,182610.0,4984759.0,0.4072893149108747,-0.008318409028691664
4,189780.0,5225722.0,0.37032338122607455,-0.0411946185301313
5,207399.0,5685921.0,0.2895929776587906,-0.03108521979164982
6,206487.0,5759864.0,0.28715690796451343,-0.061528743482945354
7,205043.0,5782726.0,0.293251020995931,-0.0893076771556214
8,242254.0,6520397.0,0.1383474826084655,0.007042354878234352
9,244316.0,6570589.0,0.12050470907709221,0.007009887667247421
10,274957.0,7171373.0,-3.8931515388352015e-05,0.08560435842997349
11,272163.0,7329848.0,-0.004105311794589702,0.012574356157900793
12,259587.0,7052685.0,0.05324907291338594,-0.019685492404731733
13,259220.0,7104206.0,0.04962280372208992,-0.034953755386830154
14,254992.0,7040810.0,0.0683015397597462,-0.050024318382013086
15,289464.0,7589094.0,-0.06944158069193941,0.052991941156173214
16,277355.0,7463391.0,-0.02912518528690986,0.007328325539828574
17,266384.0,7327317.0,0.008785700007617117,-0.04587394412885881
18,261720.0,7195293.0,0.033506937629755325,-0.032893664747678734
19,252704.0,7044983.0,0.07427816465666778,-0.07628334886008643
20,263228.0,7217403.0,0.03600462339272076,-0.05365987615301715
21,263316.0,7197884.0,0.03428351334585366,-0.047602995537233656
22,262055.0,7204270.0,0.039197765257469215,-0.055217000389527766
23,270915.0,7373574.0,0.0024859095525413236,-0.02347956240948834
24,272846.0,7443943.0,-0.009343610266831316,-0.024745309958020517
25,273242.0,7427766.0,-0.009128600398724988,-0.0181830141337069
26,291440.0,7777626.0,-0.08014683442400301,0.022353542199989355
27,284804.0,7683509.0,-0.06198203561010245,-0.004654718920027978
28,280123.0,7608548.0,-0.04602909927824165,-0.01571980600512072
29,277256.0,7501722.0,-0.020068780917961316,-0.015493830216200767
30,273150.0,7430131.0,-0.004473803468524712,-0.034521269838094726
31,262331.0,7211180.0,0.036513859082662886,-0.05288803325061113
32,284864.0,7543449.0,-0.04500651801714686,0.02797295131737293
33,266712.0,7243147.0,0.01845759650943057,-0.01567024077574283
34,281529.0,7534446.0,-0.035984739360324036,0.018890680581214313
35,305358.0,7979404.0,-0.13598329287471372,0.07329815095087036
36,288660.0,7773290.0,-0.07574825481072849,0.005217984256240755
37,275626.0,7486059.0,-0.015895990600496734,-0.01852482147568727
38,288960.0,7665178.0,-0.0619362667018862,0.035021699387814666
39,283293.0,7627019.0,-0.05059168360575369,-0.0030784978059990044
40,310960.0,8135750.0,-0.15097893208631497,0.055324387191908686
41,296474.0,7876709.0,-0.09715885561412455,0.019811180775244044
42,296547.0,7912247.0,-0.10031923697127765,0.00678592883941046
43,293813.0,7860366.0,-0.08952517199310657,-0.0029572096151103872
44,296167.0,7914307.0,-0.10652690790479838,0.010915094422920046
45,321396.0,8258616.0,-0.19434933997665688,0.0988792063751197
46,319937.0,8338844.0,-0.1978832932458073,0.06891050719876886
47,283324.0,7733636.0,-0.05903950313571181,-0.029094637526123488
48,292861.0,7824258.0,-0.08464137279942158,0.005961332649613448
49,283188.0,7673659.0,-0.04793056965565424,-0.020208069485818835
50,286939.0,7729380.0,-0.06524102116231978,-0.007549442495319068
51,293124.0,7846087.0,-0.08338157695379649,-0.006097151645486142
52,297448.0,7956395.0,-0.10406133462542329,-0.0026060184923256155
53,284846.0,7776333.0,-0.05958039738141818,-0.03881552204049421
54,299584.0,7954924.0,-0.11041701383808472,0.024911405308339667
55,292284.0,7804449.0,-0.08198018960465603,0.013339560924511983
56,270242.0,7473396.0,-0.004476318334517637,-0.05993719098785221
57,264387.0,7354071.0,0.01830679599929899,-0.0739002731833891
58,270221.0,7475272.0,-4.796793577129006e-05,-0.06393120625135924
59,274729.0,7520613.0,-0.013321162695347395,-0.043766674406906465
60,292562.0,7833114.0,-0.08254065866195284,-0.0028340336536021296
61,310742.0,8202926.0,-0.15007519702300176,0.020961122043003506
62,315427.0,8233928.0,-0.16688961552672277,0.05941596956975578
63,299609.0,7979032.0,-0.1104184861173605,0.013522340680862482
64,308332.0,8132773.0,-0.14198641474823487,0.03026445073527837
65,291993.0,7867244.0,-0.0826322075698681,-0.01353442094525475
66,297810.0,8019498.0,-0.10873744160474866,-0.01636331376450564
67,287897.0,7834048.0,-0.06692683396611702,-0.041029125205205755
68,293922.0,7877187.0,-0.0845253462920491,-0.006905766883986309
69,318480.0,8260095.0,-0.18128447650270585,0.07699688389523562
70,299990.0,7976528.0,-0.11543831133179798,0.03174489873002109
71,297483.0,7882198.0,-0.10203684441808605,0.027558010948703318
72,301248.0,7942484.0,-0.11464903220175253,0.04644467629839878
73,307397.0,8104486.0,-0.14915460734951802,0.043018986674533126
74,310293.0,8158479.0,-0.16253112798818983,0.04884608879698214
75,278104.0,7610131.0,-0.03843290277089263,-0.03945948335712152
