,Timestep,DislocationAnalysis.cell_volume,DislocationAnalysis.counts.BCC,DislocationAnalysis.counts.CubicDiamond,DislocationAnalysis.counts.FCC,DislocationAnalysis.counts.HCP,DislocationAnalysis.counts.HexagonalDiamond,DislocationAnalysis.counts.OTHER,DislocationAnalysis.length.1/2<110>,DislocationAnalysis.length.1/3<100>,DislocationAnalysis.length.1/3<111>,DislocationAnalysis.length.1/6<110>,DislocationAnalysis.length.1/6<112>,DislocationAnalysis.length.other,DislocationAnalysis.total_line_length,PolyhedralTemplateMatching.counts.BCC,PolyhedralTemplateMatching.counts.FCC,PolyhedralTemplateMatching.counts.HCP,PolyhedralTemplateMatching.counts.ICO,PolyhedralTemplateMatching.counts.OTHER,PolyhedralTemplateMatching.counts.SC
55,1120000.0,47812740.0,0.0,0.0,3674423.0,81663.0,0.0,243914.0,2130.863037109375,2239.668212890625,1647.575927734375,18053.4375,71138.0078125,1860.0860595703125,97069.609375,949.0,3707716.0,97310.0,1.0,194023.0,1.0
56,1140000.0,47812740.0,0.0,0.0,3698463.0,79642.0,0.0,221895.0,2018.0521240234375,2347.368408203125,1557.431640625,17906.337890625,70025.3828125,1705.940673828125,95560.3125,747.0,3729759.0,94325.0,0.0,175166.0,3.0
57,1160000.0,47812740.0,0.0,0.0,3705272.0,75213.0,0.0,219515.0,1757.2398681640625,2555.4833984375,1475.471435546875,18925.44140625,67867.734375,1850.1256103515625,94448.8125,784.0,3735613.0,89377.0,1.0,174222.0,3.0
58,1180000.0,47812740.0,0.0,0.0,3698850.0,76196.0,0.0,224954.0,1862.2232666015625,2248.3662109375,1333.73974609375,18714.994140625,66789.1484375,1779.615234375,92728.1171875,851.0,3729778.0,90287.0,1.0,179081.0,2.0
59,1200000.0,47812740.0,0.0,0.0,3693926.0,77622.0,0.0,228452.0,1836.031005859375,2540.4921875,1204.8431396484375,19345.916015625,67385.7890625,1701.8697509765625,94040.6953125,759.0,3725271.0,91999.0,0.0,181971.0,0.0
60,1220000.0,47812740.0,0.0,0.0,3675534.0,83259.0,0.0,241207.0,1956.79736328125,2338.491455078125,1469.4691162109375,19274.720703125,68603.6015625,2253.962890625,95896.9921875,918.0,3707438.0,97774.0,0.0,193870.0,0.0
61,1240000.0,47812740.0,0.0,0.0,3653959.0,88475.0,0.0,257566.0,2632.024658203125,2979.271240234375,1427.803955078125,20919.6171875,75584.15625,2235.9521484375,105803.71875,1036.0,3689258.0,104833.0,1.0,204872.0,0.0
62,1260000.0,47812740.0,0.0,0.0,3648267.0,88156.0,0.0,263577.0,2200.329833984375,2606.61474609375,1699.9051513671875,19999.484375,75700.71875,2268.020751953125,104474.9140625,1079.0,3684573.0,104635.0,4.0,209708.0,1.0
63,1280000.0,47812740.0,0.0,0.0,3667229.0,86270.0,0.0,246501.0,1956.1558837890625,2459.35693359375,1645.654541015625,21201.61328125,71914.15625,2238.07763671875,101422.796875,881.0,3700391.0,102055.0,3.0,196669.0,1.0
64,1300000.0,47812740.0,0.0,0.0,3657502.0,87646.0,0.0,254852.0,1982.152587890625,2533.825927734375,1588.2197265625,21092.720703125,73337.59375,2203.5986328125,102738.078125,1030.0,3691668.0,103692.0,1.0,203609.0,0.0
65,1320000.0,47812740.0,0.0,0.0,3674514.0,81621.0,0.0,243865.0,1990.165283203125,2557.774658203125,1420.11083984375,20895.228515625,69810.0234375,2062.120361328125,98740.8828125,952.0,3708007.0,96934.0,3.0,194103.0,1.0
66,1340000.0,47812740.0,0.0,0.0,3668694.0,90259.0,0.0,241047.0,1990.1290283203125,3039.326904296875,1622.039794921875,21483.01171875,74359.703125,1857.267822265625,104351.3125,902.0,3702191.0,106175.0,3.0,190729.0,0.0
67,1360000.0,47812740.0,0.0,0.0,3678473.0,78984.0,0.0,242543.0,2268.464111328125,2710.237548828125,1361.717041015625,20573.830078125,73477.296875,2386.19775390625,102777.5234375,897.0,3712102.0,94152.0,1.0,192847.0,1.0
68,1380000.0,47812740.0,0.0,0.0,3672613.0,82253.0,0.0,245134.0,1983.9344482421875,2462.797119140625,1669.1494140625,19649.279296875,72474.125,1901.959228515625,100141.1875,820.0,3706079.0,97619.0,1.0,195481.0,0.0
69,1400000.0,47812740.0,0.0,0.0,3644069.0,86658.0,0.0,269273.0,2636.953125,2902.879150390625,1440.503662109375,18384.6484375,80034.765625,2793.831787109375,108193.7265625,1020.0,3681519.0,103461.0,4.0,213995.0,1.0
70,1420000.0,47812740.0,0.0,0.0,3664393.0,84121.0,0.0,251486.0,2409.63671875,2936.43701171875,1657.9088134765625,18627.482421875,77929.296875,2690.153076171875,106263.328125,1009.0,3700011.0,100481.0,0.0,198498.0,1.0
71,1440000.0,47812740.0,0.0,0.0,3668523.0,80895.0,0.0,250582.0,2266.343505859375,2733.16748046875,1482.5372314453125,19345.84765625,74032.921875,2052.396484375,101913.2890625,943.0,3702517.0,96188.0,1.0,200348.0,3.0
72,1460000.0,47812740.0,0.0,0.0,3663073.0,78886.0,0.0,258041.0,2479.87451171875,2841.0078125,1222.5704345703125,17599.52734375,74537.5546875,2028.3394775390625,100708.90625,1026.0,3698752.0,94449.0,2.0,205771.0,0.0
73,1480000.0,47812740.0,0.0,0.0,3657805.0,91140.0,0.0,251055.0,2381.945068359375,2687.767333984375,1463.7677001953125,19824.53515625,74188.5546875,2441.896728515625,102988.484375,1052.0,3692603.0,107496.0,1.0,198848.0,0.0
74,1500000.0,47812740.0,0.0,0.0,3655039.0,92412.0,0.0,252549.0,2138.787353515625,2706.48681640625,1497.994384765625,20019.1328125,76675.3828125,2718.486083984375,105815.8984375,1115.0,3689708.0,108772.0,2.0,200403.0,0.0
75,1520000.0,47812740.0,0.0,0.0,3691082.0,83278.0,0.0,225640.0,1944.2601318359375,2248.091796875,1423.4549560546875,20372.21875,68104.0078125,2074.28271484375,96166.2578125,840.0,3721897.0,98233.0,1.0,179029.0,0.0
