,Point Defect Cnts-inp,Point Defect Cnts-out,Clsuter Vlm-inp,Clsuter Vlm-out,PCF PC 1-inp,PCF PC 1-out,PCF PC 2-inp,PCF PC 2-out,DislocationAnalysis.length.1/2<110>-inp,DislocationAnalysis.length.1/2<110>-out,DislocationAnalysis.length.1/3<100>-inp,DislocationAnalysis.length.1/3<100>-out,DislocationAnalysis.length.1/3<111>-inp,DislocationAnalysis.length.1/3<111>-out,DislocationAnalysis.length.1/6<110>-inp,DislocationAnalysis.length.1/6<110>-out,DislocationAnalysis.length.1/6<112>-inp,DislocationAnalysis.length.1/6<112>-out,DislocationAnalysis.length.other-inp,DislocationAnalysis.length.other-out,DislocationAnalysis.total_line_length-inp,DislocationAnalysis.total_line_length-out
82,-0.1567630674896776,-0.3102860685003179,-0.008292768852655286,-0.1632836691386217,0.05000860396107498,0.22356816637309862,-1.0053564629741345,-0.8406763951851559,-0.2775374633234975,-0.11441543152776035,-1.1959712218065164,-0.4862179538484952,-0.00435963798263117,0.06609355352418333,0.04541888586065568,0.11865326385907338,-0.09215745108240014,-0.29359609262915853,0.057667197622919275,-0.6252486982729124,-0.08963973668141989,-0.3051494494269349
83,-0.23261435973033429,-0.24368061958443832,-0.1332570823338841,-0.13622662134235952,0.19514331696059628,0.22701225158786542,-1.043249716785951,-0.854083982874414,-0.8223669601861019,-0.3511764445296137,-1.6025386962295016,-0.06780000334974545,1.3805163750396474,0.33390253763438693,0.6155173283207063,-0.018041637330853177,-0.8982268468151204,-0.2512446440096312,0.21668767932753497,-0.38127992507679664,-0.5569640928998609,-0.20489118161303566
84,0.012789788503283717,0.09157600539408861,0.08868821995913834,0.12352198583967322,-0.05196040858018591,-0.09276216974846818,-0.3984922404823692,-0.24014071230133993,0.30784308292302853,-0.11716638861413742,-0.9379637232057121,-0.11891731579376597,0.19228882148709658,0.2374869088776279,0.05949826813937875,0.14078275958698327,-0.04383008433683244,-0.03376834785392191,-0.7038800656749373,-0.2048171030398862,-0.05255725530426503,0.08984763859200484
85,0.2986413663671783,0.3807833940953884,0.3356016687908294,0.3490065942863083,-0.3528045652412146,-0.39106765115154474,-0.1020111053985886,-0.08851923816193619,-0.19723030217922144,0.3051304025952106,1.7678569136110411,0.21164841343063756,0.9090913668234606,0.6656196137237345,1.0713121364254619,0.3269540809983056,0.3264437256878523,0.21785646676616466,0.40655812585487183,-0.01050317106810894,0.5381973116546988,0.3222892204625083
86,0.8068054669911646,0.4916320022944518,0.6212808660398395,0.4049331414377093,-0.7740230866975963,-0.4675355481871577,1.6063752786443501,1.4356124429725128,0.17836683288149402,0.3108021762313058,0.706965221320246,0.3913054525085755,-0.643274244475279,0.10246716245299581,0.2507113336880167,0.26774874068973986,0.4448916901898059,0.37889793254733206,0.4977139849954142,0.4616722300786762,0.4058467417576139,0.4356329535842036
87,0.26128435770498015,0.562505362494079,0.28106199136270504,0.5060421878610271,-0.2879701636717442,-0.5377215153263819,-0.06746722402633054,0.16083929827590282,0.36218092787818534,0.33103682140425406,0.7356795526718827,0.7742854157682189,1.5936902500509689,-0.27350744679147,0.5395916303813095,0.3750819672558663,0.30482870003578455,0.4905596234379459,0.34530746754180086,0.47557687615861255,0.4061634688712843,0.5574083484336967
88,0.5871630679475004,0.4936740132460926,0.5221314205896306,0.4388303499968913,-0.5530326243220145,-0.44979147530818864,0.43417454090263163,0.3788649742572545,-0.08120854679798128,0.5132783876509563,-0.03758167662098799,1.1307098621971932,-1.1159919773627962,-0.340982730979178,0.9587970456657331,0.27363500619954095,0.6172804902375901,0.6465473353976421,0.766033122484771,0.8353231591727024,0.6616151133105461,0.5188970980153442
89,0.5213741863789352,0.4897876883398169,0.5063526642043001,0.44136279542996704,-0.509581350019829,-0.4629518675910447,-0.06480911670837486,-0.24821931353021398,0.8697890304843696,0.4125868530897634,0.3117304625788364,0.7649168205224584,-0.8621928244193384,-0.015947195700121597,0.19072211446287213,0.31742497231222444,0.7868982772296818,0.5653493251932957,0.024035324989071682,0.5953849839171994,0.6342938543040333,0.48634369739082217
90,1.2033188388802216,0.8494978329580221,0.8908530454355343,0.710242573916247,-1.1062452809182304,-0.8224886634701392,2.167000267161285,1.734638917313788,0.6435903235218774,1.0725096330907746,0.44590196688076844,1.5724759735825558,-0.15676421235721705,-0.04424563519241076,0.3610663244594292,0.50122282129621,0.7068431320870161,1.1896191142227224,0.7760274067056798,1.3770912056888562,0.6458603030408057,0.7924338788441787
91,0.6740904289377738,0.9439420951272268,0.6185041602107759,0.8321349448688977,-0.657080117500314,-0.9347296016220952,0.6957095081041587,0.6059592262300697,1.2443312947645069,1.0940056241667264,1.128499180049559,0.7595965726643072,1.0993543795668472,0.43172068402101615,0.21725137801357164,0.6687800945481541,1.0908379520077602,1.1414793753048542,1.8180336858751787,1.2536090319010924,0.9829974064575566,0.9225526613490018
92,-1.6150709139091646,-1.7756635246501702,-1.5930194173182457,-1.7239384781495914,1.6483763976794137,1.8028716363881472,-0.6812522274675388,-0.8058190672101233,-1.4768535423159648,-1.502181387009145,-0.553405020970132,-0.5847706928283145,-1.1643935306992859,-1.1987126265131565,-1.3101281768070407,-1.7228270745962817,-1.6362129655143463,-1.7582809770196945,-1.2747079506754488,-1.250332245014235,-1.5968430252173107,-1.8120641431556805
93,-1.6733191683156008,-1.7429663881046196,-1.4995566190631564,-1.675510437560476,1.669198146698946,1.7569589238256924,-1.9572341582272514,-1.4588958867494597,-1.6311984540849949,-1.429652931263405,-0.517220809716008,-0.8754636533796969,-0.937310857949484,-1.0472522784222775,-1.1627018667500977,-1.6256870998043098,-1.6288688176445163,-1.6953005408120134,-1.9753687797445139,-1.3109110253852236,-1.5795282157310027,-1.7803925602107
94,-0.7533379311686161,-1.1368957547235254,-0.7873537798334667,-1.0570542458374064,0.7874801621704108,1.1621654335361313,0.15433765563088286,0.1974399715225701,-0.6617866064351148,-0.8113653448874061,0.8525992460245391,-0.5307754694746762,0.7831840715026175,-0.6826113204668189,-0.8562305685492078,-1.124745355214884,-0.6072684691489485,-1.0282467667273352,-0.13994994389466342,-0.7039369406818707,-0.6166346538423539,-1.1633149041963833
