,m2_x_xyz,m2_y_xyz,m2_z_xyz,m2_x,m2_y,m2_z,vol,var1,var2,var3,m3_x,m3_y,m3_z,m4_x,m4_y,m4_z,n_atoms_irr,n_atoms_all
0,210.6911208238138,219.8338389441674,200.36434761239911,232.55474857839678,213.2363813564634,182.51594865300768,9050807.662252838,13520.582135518858,11367.568366558908,8328.112959898966,60.7726645272958,90.70872624939265,59.30827211613757,141.9047888573138,142.17979449012682,121.55538065996444,87589.0,4000000.0
1,222.20766070749895,228.32704577896067,212.61512731108238,245.71823181864582,224.2657147956679,189.84761360591736,10461775.799171623,15094.476278297398,12573.872601773786,9010.59709990573,79.61306136264191,33.33362755818901,21.045699651871782,147.39444088821713,130.73339977231828,121.82852805624748,132505.0,4000000.0
2,218.16149648720935,212.55728987701914,209.0371582926498,219.26035679810053,213.6283937919939,206.78341055097056,9685784.13261554,12018.846269002122,11409.339349009322,10689.907204982597,-50.58349168631451,54.29197265842405,-33.274444091071935,130.44337223903582,134.91735021999133,128.6273603152573,171079.0,4000000.0
3,214.70002257683274,213.35506709479364,211.076282475638,220.74241400451936,210.39261751276564,207.79175760562848,9650384.137058929,12181.870044899875,11066.323976833333,10794.412744047097,59.52401707488183,48.40515725750411,44.17025851607971,141.58056835515606,128.4352940600874,126.71508864959509,182610.0,4000000.0
4,213.82336806586696,219.2068202753261,209.74552494155282,227.55572932683376,208.63056775468033,206.0507807996615,9782277.509666706,12945.47070040664,10881.735789095854,10614.286996466331,65.32549662535045,38.47021107917867,-17.016381081620775,144.23537715583763,129.60259706713722,126.45478878856088,189780.0,4000000.0
5,204.6385775927427,218.26832653173142,216.70568276734087,225.08730057892862,212.3012488668087,201.84957170499246,9645647.219534295,12666.13429181457,11268.009397706417,10185.861511766743,40.77847339230408,46.28773566913951,34.097686923700536,138.87383416847834,132.73769491283147,122.89474540653903,207399.0,4000000.0
6,205.41139552090382,211.5313685813273,216.75643695607792,223.1193662001781,212.86676788344107,197.04872956432686,9358769.967998771,12445.623166548308,11328.120078463768,9707.097466424233,-23.397901741787354,54.80408396181786,24.953180243434893,133.0250489619629,127.71313049778574,124.34465844108463,206487.0,4000000.0
7,210.31767505347213,211.79815054194594,213.02819142742902,226.42728326883142,208.9044362517704,198.9035275241592,9408467.820061805,12817.39116287324,10910.319081325095,9890.701552595092,-45.90179308027401,47.418181136396,34.351878355445606,141.15555361463805,129.03715456077768,125.69178080967976,205043.0,4000000.0
8,208.44548931845472,208.64416970000678,218.98479642798716,225.21665478815154,211.20073259260937,199.01749066853893,9466450.533963472,12680.68774308728,11151.483394108835,9902.031272583676,48.2201804675343,-33.0379071177212,-31.661356993371935,133.7718829947871,129.8832604106622,125.35602232659973,242254.0,4000000.0
9,209.75480433146492,213.97558248370382,215.5161098139546,227.77358199737057,209.66851602011272,200.96798292943083,9597617.696516871,12970.254252004597,10990.26663633771,10097.07386860823,47.48885477142616,55.371313885413265,-29.697569540511353,136.5923052053674,123.13844419069338,127.51565914089822,244316.0,4000000.0
